market,commodity,unit,record_count,mean_price,minimum_price,maximum_price
Tororo,Sorghum,KG,44,1926.5681818181818,1120.0,2500.0
Kiryandongo (refugee settlement),Sorghum,KG,67,1913.7462686567164,1000.0,2500.0
Kiryandongo (refugee settlement),Batteries,Pair,17,1908.0588235294117,1000.0,2833.0
Palorinya (refugee settlement),Salt,KG,67,1908.0398507462687,1733.0,2000.0
Iganga,Maize flour,KG,153,1906.1809150326796,700.0,3700.0
Rhino Camp (refugee settlement),Salt,KG,67,1891.3283582089553,1467.0,2134.0
Imvepi (refugee settlement),Salt,KG,67,1885.374776119403,1400.0,2000.0
Kyangwali (refugee settlement),Salt,KG,67,1879.7064179104477,1567.0,2384.0
Hoima,Cassava flour,KG,23,1879.4782608695652,950.0,3000.0
Imvepi (refugee settlement),Batteries,Pair,21,1876.3333333333333,1200.0,3000.0
Napak,Cassava flour,KG,21,1864.5238095238096,800.0,2950.0
Imvepi (refugee settlement),Milk (fresh),L,25,1861.32,1000.0,2500.0
Kotido,Cassava flour,KG,36,1857.3333333333333,700.0,2500.0
Kiryandongo (refugee settlement),Serving spoon,Unit,22,1855.6990909090907,1000.0,3167.0
Lira,Millet,KG,154,1852.9933766233764,850.0,4650.0
Bidibidi (refugee settlement),Batteries,Pair,20,1851.2,1200.0,2000.0
Lobule (refugee settlement),Batteries,Pair,20,1848.45,1000.0,3500.0
Oruchinga (refugee settlement),Sorghum,KG,67,1845.402985074627,940.0,4250.0
Kyangwali (refugee settlement),Leafy vegetables,KG,65,1844.1538461538462,500.0,5000.0
Nakivale (refugee settlement),Batteries,Pair,20,1838.9,1000.0,2111.0
Rhino Camp (refugee settlement),Sorghum,KG,67,1836.392985074627,933.0,3250.0
Mbarara,Cassava flour,KG,174,1829.010632183908,787.5,2700.0
Mbale,Cassava flour,KG,33,1823.5657575757575,1067.0,2500.0
Kiboga,Millet,KG,33,1820.1818181818182,1258.0,2350.0
Oruchinga (refugee settlement),Rope,Unit,17,1819.2941176470588,1000.0,3000.0
Palabek (refugee settlement),Milk (fresh),L,34,1806.4411764705883,1000.0,2127.0
Adjumani (refugee settlement),Leafy vegetables,KG,60,1788.3833333333334,800.0,2958.0
Lobule (refugee settlement),Milk (fresh),L,58,1778.6206896551723,1000.0,2000.0
Lobule (refugee settlement),Sorghum,KG,67,1773.8059701492537,1057.0,3000.0
Rhino Camp (refugee settlement),Serving spoon,Unit,22,1767.6818181818182,1000.0,2545.0
Rhino Camp (refugee settlement),Maize (white),KG,67,1766.1392537313434,930.0,2864.0
Palorinya (refugee settlement),Milk (fresh),L,59,1765.0961016949152,1000.0,2146.0
Nakivale (refugee settlement),Sorghum,KG,67,1754.8358208955224,983.0,2750.0
Kiboga,Beans,KG,33,1754.0666666666666,1300.0,2450.0
Moroto,Cassava flour,KG,47,1752.078085106383,800.0,2500.0
Lobule (refugee settlement),Salt,KG,67,1739.0298507462687,1000.0,2380.0
Palorinya (refugee settlement),Batteries,Pair,22,1734.8490909090908,1000.0,2000.0
Kapchorwa,Sorghum,KG,127,1730.4973228346457,700.0,3250.0
Rhino Camp (refugee settlement),Leafy vegetables,KG,62,1725.5483870967741,500.0,4000.0
Oruchinga (refugee settlement),Leafy vegetables,KG,63,1724.2857142857142,333.0,3333.0
Kiboga,Maize flour,KG,45,1720.392,825.0,2400.0
Kiryandongo (refugee settlement),Milk (fresh),L,57,1714.421052631579,1200.0,2458.0
Fort Portal,Maize (white),KG,24,1695.125,900.0,2563.0
Namalu,Cassava flour,KG,13,1693.5384615384614,1500.0,2133.0
Imvepi (refugee settlement),Sorghum,KG,66,1687.013484848485,868.0,2667.0
Rhino Camp (refugee settlement),Batteries,Pair,17,1677.8823529411766,1234.0,2000.0
Nakivale (refugee settlement),Salt,KG,67,1672.5223880597016,1233.0,3278.0
Kyangwali (refugee settlement),Wooden mingle,Unit,24,1664.8474999999999,1000.0,2500.0
Bidibidi (refugee settlement),Milk (fresh),L,63,1663.4603174603174,1000.0,2407.0
Palorinya (refugee settlement),Serving spoon,Unit,23,1650.753043478261,1000.0,2500.0
Imvepi (refugee settlement),Serving spoon,Unit,23,1648.4347826086957,1250.0,2250.0
Tororo,Cassava flour,KG,28,1646.345357142857,928.0,2500.0
Imvepi (refugee settlement),Maize (white),KG,67,1640.197313432836,1000.0,2592.0
Nakivale (refugee settlement),Milk (fresh),L,59,1615.7627118644068,1000.0,2001.0
Oruchinga (refugee settlement),Salt,KG,64,1608.203125,1200.0,2000.0
Adjumani (refugee settlement),Maize (white),KG,67,1600.7680597014926,944.0,2950.0
